date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:45:41	269150/269150	------	200	untouched ('OK')	text/html	date:Tue,%2010%20Sep%202024%2009:30:34%20GMT	https://nhaxinh.com/	D:/thien/nhaxinh.com/index.html	(from )
01:45:41	156/156	------	200	untouched ('OK')	text/plain	etag:%226194e761-9c%22	https://nhaxinh.com/robots.txt		(from )
01:45:41	42/42	------	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2010%20Sep%202024%2016:26:38%20GMT	https://nhaxinh.com/xmlrpc.php	D:/thien/nhaxinh.com/xmlrpc.0.delayed	(from https://nhaxinh.com/)
01:45:41	156/156	------	400	error ('Bad%20Request')	text/html	date:Tue,%2010%20Sep%202024%2016:26:53%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/thien/www.googletagmanager.com/gtm.345445.delayed	(from https://nhaxinh.com/)
01:45:41	1150/1150	------	200	untouched ('')	image/x-icon	etag:%226194e759-47e%22	https://nhaxinh.com/wp-content/themes/flatsome-child/assets/images/favicon.ico	D:/thien/nhaxinh.com/wp-content/themes/flatsome-child/assets/images/favicon.ico	(from https://nhaxinh.com/)
01:45:41	81724/81724	------	200	untouched ('OK')	text/css	etag:W/%2266c6dce1-13f3c%22	https://nhaxinh.com/wp-content/cache/min/1/wp-content/themes/flatsome-child/assets/css/all.css?ver=1724308705	D:/thien/nhaxinh.com/wp-content/cache/min/1/wp-content/themes/flatsome-child/assets/css/all2902.css	(from https://nhaxinh.com/)
01:45:41	78592/78592	------	200	untouched ('OK')	text/css	etag:W/%2266c6dce1-13300%22	https://nhaxinh.com/wp-content/cache/min/1/wp-content/themes/flatsome-child/assets/css/fontawesome.css?ver=1724308705	D:/thien/nhaxinh.com/wp-content/cache/min/1/wp-content/themes/flatsome-child/assets/css/fontawesome2902.css	(from https://nhaxinh.com/)
01:45:41	918/918	------	200	untouched ('OK')	text/css	etag:W/%2266c6dce1-396%22	https://nhaxinh.com/wp-content/cache/min/1/wp-content/themes/flatsome-child/assets/css/brands.css?ver=1724308705	D:/thien/nhaxinh.com/wp-content/cache/min/1/wp-content/themes/flatsome-child/assets/css/brands2902.css	(from https://nhaxinh.com/)
01:45:41	926/926	------	200	untouched ('OK')	text/css	etag:W/%2266c6dce1-39e%22	https://nhaxinh.com/wp-content/cache/min/1/wp-content/themes/flatsome-child/assets/css/solid.css?ver=1724308705	D:/thien/nhaxinh.com/wp-content/cache/min/1/wp-content/themes/flatsome-child/assets/css/solid2902.css	(from https://nhaxinh.com/)
01:45:41	3351/3351	------	200	untouched ('OK')	text/css	etag:W/%226194e759-d17%22	https://nhaxinh.com/wp-content/themes/flatsome-child/assets/css/owl.carousel.min.css	D:/thien/nhaxinh.com/wp-content/themes/flatsome-child/assets/css/owl.carousel.min.css	(from https://nhaxinh.com/)
01:45:41	156499/156499	------	200	untouched ('OK')	text/css	etag:W/%2266c6dce1-26353%22	https://nhaxinh.com/wp-content/cache/min/1/wp-content/themes/flatsome-child/assets/css/styles.css?ver=1724308705	D:/thien/nhaxinh.com/wp-content/cache/min/1/wp-content/themes/flatsome-child/assets/css/styles2902.css	(from https://nhaxinh.com/)
01:45:41	267783/267783	------	200	untouched ('OK')	text/html	date:Tue,%2010%20Sep%202024%2004:58:39%20GMT	https://nhaxinh.com/?lang=en	D:/thien/nhaxinh.com/index9ed2.html	(from https://nhaxinh.com/)
01:45:41	53856/53856	------	200	untouched ('')	application/javascript	etag:W/%22663850a2-d260%22	https://nhaxinh.com/wp-content/themes/flatsome/assets/js/flatsome.js?ver=a0a7aee297766598a20e	D:/thien/nhaxinh.com/wp-content/themes/flatsome/assets/js/flatsomeaeec.js	(from https://nhaxinh.com/)
01:45:42	49913/49913	------	200	untouched ('')	application/javascript	etag:W/%22663850a2-c2f9%22	https://nhaxinh.com/wp-content/themes/flatsome/assets/js/chunk.slider.js?ver=3.18.7	D:/thien/nhaxinh.com/wp-content/themes/flatsome/assets/js/chunk.slider1bad.js	(from https://nhaxinh.com/)
01:45:42	20041/20041	------	200	untouched ('')	application/javascript	etag:W/%22663850a2-4e49%22	https://nhaxinh.com/wp-content/themes/flatsome/assets/js/chunk.popups.js?ver=3.18.7	D:/thien/nhaxinh.com/wp-content/themes/flatsome/assets/js/chunk.popups1bad.js	(from https://nhaxinh.com/)
01:45:42	39860/39860	------	200	untouched ('')	application/javascript	etag:W/%22663850a2-9bb4%22	https://nhaxinh.com/wp-content/themes/flatsome/assets/js/chunk.tooltips.js?ver=3.18.7	D:/thien/nhaxinh.com/wp-content/themes/flatsome/assets/js/chunk.tooltips1bad.js	(from https://nhaxinh.com/)
01:45:42	21855/21855	------	200	untouched ('')	application/javascript	etag:W/%22663850a2-555f%22	https://nhaxinh.com/wp-content/themes/flatsome/assets/js/woocommerce.js?ver=49415fe6a9266f32f1f2	D:/thien/nhaxinh.com/wp-content/themes/flatsome/assets/js/woocommerce9c5c.js	(from https://nhaxinh.com/)
01:45:42	749674/749674	------	200	untouched ('')	application/rss+xml	etag:W/%228b2f2dbfe4af6d376b1dbfe159c51d98%22	https://nhaxinh.com/feed/	D:/thien/nhaxinh.com/feed/index.html	(from https://nhaxinh.com/)
01:45:42	688/688	------	200	untouched ('')	application/rss+xml	etag:W/%228b2f2dbfe4af6d376b1dbfe159c51d98%22	https://nhaxinh.com/comments/feed/	D:/thien/nhaxinh.com/comments/feed/index.html	(from https://nhaxinh.com/)
01:45:42	33431/33431	------	200	untouched ('OK')	text/css	etag:W/%2265b0ae30-8297%22	https://nhaxinh.com/wp-content/plugins/instagram-feed/css/sbi-styles.min.css?ver=6.2.7	D:/thien/nhaxinh.com/wp-content/plugins/instagram-feed/css/sbi-styles.min311f.css	(from https://nhaxinh.com/)
